Entidad federativa,Año,Porcentaje_alfabetizacion,Años_escolaridad_15,Pob_hombres,Pob_mujeres,Edad_mediana,Pob_0-4_años,Pob_10-14_años,Pob_+100_años,Pob_15-19_años,Pob_20-24_años,Pob_25-29_años,Pob_30-34_años,Pob_35-39_años,Pob_40-44_años,Pob_45-49_años,Pob_05-9_años,Pob_50-54_años,Pob_55-59_años,Pob_60-64_años,Pob_65-69_años,Pob_70-74_años,Pob_75-79_años,Pob_80-84_años,Pob_85-89_años,Pob_90-94_años,Pob_95-99_años,Pob_afro_share,Pob_indigena_share,Pob_catolica,Pob_no-catolica,Pob_sin-religion,Población urbana,Población rural,Población total,Ingreso_percapita_mean,Ingreso_hogar_mean
01 Aguascalientes,1995,NA,NA,422324,440396,19,112429,104083,59,97061,88901,71839,62217,25116,40131,31678,107680,24525,17646,15900,11870,9452,5771,3892,2428,975,380,NA,NA,NA,NA,NA,674984,187736,862720,NA,NA
01 Aguascalientes,2000,95.1067763566,8,456533,487752,21,116137,108532,102,99577,87508,79200,70317,28736,49365,37541,117375,30202,22094,17759,13752,10714,7754,4336,2726,1169,542,NA,NA,785614,23009,6723,757579,186706,944285,NA,NA
01 Aguascalientes,2005,NA,8.7,515364,550052,23,118536,120280,98,107007,93139,83073,82651,34068,61553,49233,120130,39222,29196,23168,16290,12912,9203,6155,3140,1302,503,NA,NA,NA,NA,NA,864550,200866,1065416,NA,NA
01 Aguascalientes,2010,96.2,9.23,576638,608358,24,121557,123806,109,121428,106305,93604,88726,40569,73084,60198,128874,49980,37543,29258,21004,15254,10673,7228,4061,1467,551,NA,NA,987501,47813,19242,957589,227407,1184996,NA,NA
01 Aguascalientes,2015,97.0322902435,9.725974723,NA,NA,24.714148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0497507,11.686846,NA,NA,NA,NA,NA,NA,NA,NA
01 Aguascalientes,2020,97.7402146878,10.3491343203,696683,728924,27,124430,129717,112,131967,127020,118426,106825,47774,92378,84669,131048,74121,58865,48306,35823,25586,16581,10186,5576,2410,796,1.5730141617,NA,1159832,80099,57920,1198711,226896,1425607,15959.620021819312,58303.33414728
02 Baja California,1995,NA,NA,1064591,1047549,22,257856,208902,141,215142,240052,208348,175151,71708,105499,80606,238928,64059,47838,40558,29724,21048,12270,7248,3702,1336,572,NA,NA,NA,NA,NA,1929488,182652,2112140,NA,NA
02 Baja California,2000,96.2834529919,8.2,1252581,1234786,23,268682,226758,266,220707,231966,230907,197807,83873,126564,92839,260331,73548,53639,44174,32561,23192,15403,8005,4322,1675,857,NA,NA,1637088,218574,123743,2278000,209367,2487367,NA,NA
02 Baja California,2005,NA,8.9,1431789,1412680,25,267954,267938,172,255309,246968,241951,240879,106746,164598,128512,277635,99356,71624,56711,40660,28923,18815,11375,5453,1987,792,NA,NA,NA,NA,NA,2644801,199668,2844469,NA,NA
02 Baja California,2010,96.3,9.26,1591610,1563460,26,293234,305472,206,299195,286479,265428,264023,135331,215049,171104,303180,136690,97874,75229,52560,37742,24055,14744,7764,2641,913,NA,NA,2067835,439238,277525,2911874,243196,3155070,NA,NA
02 Baja California,2015,97.5787501679,9.7574177214,NA,NA,26.971985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2245333,8.5366398,NA,NA,NA,NA,NA,NA,NA,NA
02 Baja California,2020,97.7485847345,10.202654544,1900589,1868431,30,266301,312348,252,315639,340359,328244,302389,148169,273611,260844,299654,221388,168653,134022,94704,65425,40874,25204,12451,4858,1512,1.7076587548,NA,2187369,651391,644597,3530240,238780,3769020,20628.962167594895,67820.5638907682
03 Baja California Sur,1995,NA,NA,191013,184481,22,42732,41165,35,40586,39231,34454,30976,13577,19764,14905,42977,11611,8618,6868,5061,3560,2353,1430,795,321,149,NA,NA,NA,NA,NA,296335,79159,375494,NA,NA
03 Baja California Sur,2000,95.6902843668,8.3,216250,207791,23,45613,43302,53,42376,42278,40264,35609,15778,25053,18593,45929,14109,10631,8248,6145,4176,2894,1725,966,361,221,NA,NA,333156,23067,13632,344735,79306,424041,NA,NA
03 Baja California Sur,2005,NA,8.9,261288,250882,25,49069,48106,45,46700,46222,45939,43628,19506,31526,25121,49164,19430,13781,10783,7544,5254,3488,2154,1168,440,177,NA,NA,NA,NA,NA,434117,78053,512170,NA,NA
03 Baja California Sur,2010,96.07,9.4,325433,311593,26,60758,57380,58,57713,58690,57525,56159,26810,42163,34308,60334,28122,20188,14895,10279,7012,4598,2805,1589,655,223,NA,NA,468981,57138,35130,548718,88308,637026,NA,NA
03 Baja California Sur,2015,96.7899196043,9.9055352308,NA,NA,27.307731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5493751,14.470478,NA,NA,NA,NA,NA,NA,NA,NA
03 Baja California Sur,2020,97.4234878303,10.3425484887,405879,392568,29,62455,67665,55,65469,66743,68798,67779,33289,59389,51771,66933,43337,33731,27095,19274,12545,8166,4649,2556,936,332,3.2976515661,NA,544008,100304,86571,727500,70947,798447,19763.8705047123,64265.8644138523
04 Campeche,1995,NA,NA,322991,319525,20,80026,77875,125,71464,64693,52129,45219,20102,30851,24521,80680,18502,14680,12842,9347,7362,4504,2674,1449,682,304,NA,NA,NA,NA,NA,457195,185321,642516,NA,NA
04 Campeche,2000,88.1293657793,7,344334,346355,22,78424,80246,149,73769,66395,57599,50021,22444,36088,28962,83090,22362,16699,14546,10683,8374,5787,3421,1777,714,414,NA,NA,432457,109504,59973,490309,200380,690689,NA,NA
04 Campeche,2005,NA,7.9,373457,381273,24,73461,83597,140,77485,70006,62455,59665,25770,43896,36152,79199,29746,21475,17979,12827,9830,7153,4407,2579,890,405,NA,NA,NA,NA,NA,558657,196073,754730,NA,NA
04 Campeche,2010,90.94,8.51,407721,414720,25,76925,81314,142,82920,76388,68197,64927,30049,50522,42811,78299,35658,28316,21379,15079,12890,8320,5254,3209,1127,479,NA,NA,473756,156876,83366,613409,209032,822441,NA,NA
04 Campeche,2015,92.8765820559,9.1384544604,NA,NA,26.534519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3949192,44.53797,NA,NA,NA,NA,NA,NA,NA,NA
04 Campeche,2020,94.0044014871,9.6251301927,456939,471424,29,78935,80168,149,76140,75556,72798,72709,33611,64170,57628,82015,50254,40805,32778,25796,17559,11916,7536,4413,1768,701,2.0809747911,NA,515526,212258,116478,696587,231776,928363,13171.17668648913,47275.789246441
05 Coahuila de Zaragoza,1995,NA,NA,1080594,1093181,22,253150,236394,169,240739,231564,187979,164412,69986,109439,90101,241326,72230,56802,47416,35309,25443,15572,9618,5983,2044,873,NA,NA,NA,NA,NA,1917349,256426,2173775,NA,NA
05 Coahuila de Zaragoza,2000,96.0266445459,8.4,1140195,1157875,23,253171,234659,253,225416,223857,204662,179690,76375,128951,98997,257228,82932,63057,53853,39173,28943,19396,10102,6051,2420,1027,NA,NA,1743978,175342,76574,2054753,243317,2298070,NA,NA
05 Coahuila de Zaragoza,2005,NA,9,1236880,1258320,25,249590,257591,225,231405,214562,206859,205193,87416,152496,126257,257277,100907,77889,64043,47679,34186,23529,13768,6882,2396,1056,NA,NA,NA,NA,NA,2246697,248503,2495200,NA,NA
05 Coahuila de Zaragoza,2010,96.63,9.47,1364197,1384194,26,258246,268193,263,261942,230132,210236,216325,103371,177554,150271,270736,125961,95121,77527,55667,42832,27610,17076,9002,2959,1008,NA,NA,2002903,299481,132703,2473388,275003,2748391,NA,NA
05 Coahuila de Zaragoza,2015,97.0980220628,9.8973882488,NA,NA,26.778753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0934375,6.9338712,NA,NA,NA,NA,NA,NA,NA,NA
05 Coahuila de Zaragoza,2020,97.992861127,10.4319955651,1563669,1583102,29,279912,268144,214,269284,264313,245917,224329,109371,218687,205202,276224,178214,142215,118950,84422,61684,39801,24851,12495,4712,1408,1.4610532511,NA,2157764,401342,298339,2884047,262724,3146771,16035.056332464952,55670.6530016076
06 Colima,1995,NA,NA,242787,245241,21,54512,57444,74,55665,50183,39747,35694,15693,24674,19427,57304,15550,11815,9813,7519,6251,4261,2778,1551,659,335,NA,NA,NA,NA,NA,415984,72044,488028,NA,NA
06 Colima,2000,92.7489145954,7.7,268192,274435,23,53295,57422,128,54826,48878,43310,38024,17173,29529,22683,57165,18269,14053,11339,8777,6599,5086,3129,1879,760,397,NA,NA,425954,20263,8096,464438,78189,542627,NA,NA
06 Colima,2005,NA,8.4,280005,287991,25,51929,56990,121,56534,50049,44660,44016,18850,34968,28969,53742,23348,17614,14442,10530,7947,5679,3908,2327,946,416,NA,NA,NA,NA,NA,497570,70426,567996,NA,NA
06 Colima,2010,94.31,8.95,322790,327765,26,58263,59473,123,62323,60070,53136,50521,23868,41432,35812,59869,30917,23301,18355,13806,10239,6976,4565,2906,1259,499,NA,NA,520240,41325,18689,577539,73016,650555,NA,NA
06 Colima,2015,95.5756541546,9.5287204191,NA,NA,27.417067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1071376,20.428832,NA,NA,NA,NA,NA,NA,NA,NA
06 Colima,2020,96.4966778842,10.0467299821,360622,370769,30,52313,60801,148,60663,59343,58035,57436,26634,51179,47133,60049,41541,34819,29795,22071,16086,10803,6859,3623,1571,601,1.8559156457,NA,567548,60170,48645,658699,72692,731391,17842.17495548242,56297.2779390877
07 Chiapas,1995,NA,NA,1790580,1794206,18,501668,473016,1074,417806,339774,273873,222885,102135,151151,124169,509161,96273,71025,61519,40548,31734,18589,13071,6412,3612,1848,NA,NA,NA,NA,NA,1582392,2002394,3584786,NA,NA
07 Chiapas,2000,76.9636688286,5.4,1941880,1979012,19,483372,488791,1241,433517,361994,292960,242588,109185,174699,141959,518550,110635,83843,72099,49327,37597,23858,14768,7712,3896,2309,NA,NA,2099240,721096,429803,1791858,2129034,3920892,NA,NA
07 Chiapas,2005,NA,6.1,2108830,2184629,20,490058,537725,1267,471331,383455,324289,283522,121598,210437,176142,512440,139301,103667,98728,63469,46845,31858,19141,10593,4097,2352,NA,NA,NA,NA,NA,2049747,2243712,4293459,NA,NA
07 Chiapas,2010,81.59,6.67,2352807,2443773,22,540459,549896,1467,530233,438019,366537,335370,145306,246620,212924,554692,174407,137559,110499,78922,68500,39750,24678,13513,5569,2583,NA,NA,2500222,1163097,499178,2337198,2459382,4796580,NA,NA
07 Chiapas,2015,84.1982974773,7.2885812082,NA,NA,22.550074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077464,36.146747,NA,NA,NA,NA,NA,NA,NA,NA
07 Chiapas,2020,86.2161056812,7.7832182974,2705947,2837881,24,574152,583132,1449,526577,464523,424403,396045,174270,329204,284333,612792,243848,196355,158726,125777,85855,63158,38245,21839,8853,3855,1.0197286063,NA,2704411,1632664,599917,2726722,2817106,5543828,7489.030640476465,29167.5886941926
08 Chihuahua,1995,NA,NA,1391914,1401623,22,330996,293173,218,291853,299966,254432,216249,88099,134678,110031,320170,93325,74656,63150,45828,32628,19503,12527,7069,2387,988,NA,NA,NA,NA,NA,2239184,554353,2793537,NA,NA
08 Chihuahua,2000,95.1174601018,7.7,1519972,1532935,23,334521,306679,329,290939,280013,272404,242428,101506,162697,121932,341921,103012,81615,71437,51719,37728,24488,12813,7526,2770,1242,NA,NA,2218719,240654,133482,2519447,533460,3052907,NA,NA
08 Chihuahua,2005,NA,8.3,1610275,1631169,25,320384,322642,224,300186,267506,250016,257676,114930,193322,153968,324350,119550,92987,80050,62659,45078,29983,17235,8045,2931,1078,NA,NA,NA,NA,NA,2738858,502586,3241444,NA,NA
08 Chihuahua,2010,95.4,8.82,1692545,1713920,26,322676,324661,286,322034,285872,255036,251304,128448,222756,183153,335064,149069,108607,89542,68809,54419,34386,20704,10184,3294,1101,NA,NA,2356617,356940,221007,2889196,517269,3406465,NA,NA
08 Chihuahua,2015,94.9864675805,9.4665905586,NA,NA,26.605072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769842,11.280378,NA,NA,NA,NA,NA,NA,NA,NA
08 Chihuahua,2020,97.0962141647,9.9969420588,1853822,1888047,29,291286,333715,243,326333,314067,298299,275644,130612,251983,248522,317322,219930,173639,140861,100944,74018,50265,31387,15250,5376,1477,1.6280099597,NA,2514110,469680,450958,3274046,467823,3741869,18233.9821483091,60263.3282113205
09 Ciudad de México,1995,NA,NA,4075902,4413105,25,780705,781808,685,848416,964075,826960,725263,303002,499935,402093,785466,325253,235829,212782,158713,119920,71291,46687,26414,10508,4126,NA,NA,NA,NA,NA,8463861,25146,8489007,NA,NA
09 Ciudad de México,2000,96.9691843998,9.6,4110485,4494754,27,737934,742986,1163,798349,832517,840487,731452,307235,556565,441804,764094,373595,269845,227283,175174,134345,92943,51638,30845,12237,5012,NA,NA,6999402,458946,223066,8584919,20320,8605239,NA,NA
09 Ciudad de México,2005,NA,10.2,4171683,4549233,29,664092,704950,952,740280,765641,735441,755600,319519,596540,515878,671579,441077,329553,263228,192699,164150,110512,72725,35912,14084,5176,NA,NA,NA,NA,NA,8690550,30366,8720916,NA,NA
09 Ciudad de México,2010,97.02,10.54,4233783,4617297,31,618245,660345,1089,723372,753404,726696,702642,341865,629563,555481,658948,506310,392186,315793,227625,179329,124499,85121,47170,17225,5797,NA,NA,6781382,595395,447935,8810393,40687,8851080,NA,NA
09 Ciudad de México,2015,97.739813344,11.1195871124,NA,NA,32.80528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7979509,8.7973487,NA,NA,NA,NA,NA,NA,NA,NA
09 Ciudad de México,2020,98.152617838,11.4820394079,4404927,4805017,35,479904,608962,1308,650389,714605,752289,743611,340545,670307,668945,563907,623483,526447,469514,356196,267744,175215,117480,66316,28780,9066,2.0294803095,NA,6634532,1125620,945422,9145632,64312,9209944,19911.72428550976,67356.7011796574
10 Durango,1995,NA,NA,709268,722480,20,175246,175910,189,165403,140244,109163,95654,40309,64382,54268,180229,45710,37306,33863,24605,17811,10563,7168,4640,1612,692,NA,NA,NA,NA,NA,872967,558781,1431748,NA,NA
10 Durango,2000,94.5255985235,7.3,709521,739140,21,168897,172365,255,150569,129322,113003,100022,42492,73203,57469,177062,48972,39206,36689,27761,20362,13433,6877,4431,1906,886,NA,NA,1142324,73123,36730,924055,524606,1448661,NA,NA
10 Durango,2005,NA,8,738095,771022,23,158588,171314,243,156434,124920,111556,110058,46784,85571,70558,165488,57570,45386,40026,31835,24425,16824,9837,4700,1784,798,NA,NA,NA,NA,NA,1014680,494437,1509117,NA,NA
10 Durango,2010,95.57,8.58,803890,829044,24,161700,167180,235,166366,143377,117714,115294,54244,96859,82516,166853,70274,53875,44693,34601,29733,19595,12039,6079,1953,753,NA,NA,1263084,118040,50889,1124435,508499,1632934,NA,NA
10 Durango,2015,96.2065014319,9.1476096587,NA,NA,25.26015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010827700000000001,7.9445324,NA,NA,NA,NA,NA,NA,NA,NA
10 Durango,2020,97.0599078271,9.7460694308,904866,927784,27,167600,170271,157,162990,153588,141107,129526,57634,114976,108070,176033,97009,79997,66536,49727,36956,25689,17026,9042,3333,1012,0.9445884375,NA,1383653,165875,109984,1326380,506270,1832650,13777.015678968022,50361.2909537053
11 Guanajuato,1995,NA,NA,2139104,2267464,20,561702,557242,551,513332,443945,345170,292316,121364,196209,157073,561618,127784,96922,90404,67006,53790,31365,23999,14196,6241,2681,NA,NA,NA,NA,NA,2935934,1470634,4406568,NA,NA
11 Guanajuato,2000,87.9235973636,6.4,2233315,2429717,21,564593,560147,878,501053,435713,371568,322249,129610,229441,177786,582207,146282,111802,98676,76586,62089,42290,23925,15706,7235,3680,NA,NA,3904423,87993,27697,3133783,1529249,4663032,NA,NA
11 Guanajuato,2005,NA,7.2,2329136,2564676,23,527480,569357,754,504643,425409,377109,361384,147170,269592,219520,551459,180011,135455,117552,87450,71388,51797,34405,17077,7351,3392,NA,NA,NA,NA,NA,3410955,1482857,4893812,NA,NA
11 Guanajuato,2010,91.29,7.73,2639425,2846947,24,547466,580600,766,570965,493167,425291,407712,181162,324654,266465,579121,225760,174400,140229,105229,86650,60341,42362,24163,8603,3588,NA,NA,4627793,176511,69288,3835204,1651168,5486372,NA,NA
11 Guanajuato,2015,93.0380271786,8.3818506815,NA,NA,25.256016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0349524,9.1299537,NA,NA,NA,NA,NA,NA,NA,NA
11 Guanajuato,2020,94.5326300514,9.0437866981,2996454,3170480,28,538846,549301,683,552092,540587,501868,462332,208278,407230,365660,547545,318197,250808,214406,161765,118285,81110,54366,31747,14003,5009,1.7643451349,NA,5107664,309973,191293,4444958,1721976,6166934,12693.721759973496,48387.7072081535
12 Guerrero,1995,NA,NA,1433417,1483150,18,388050,387415,894,336443,265340,205582,177944,78286,126571,106096,399798,86328,67228,63816,42877,35686,20694,14734,7581,3822,2028,NA,NA,NA,NA,NA,1594825,1321742,2916567,NA,NA
12 Guerrero,2000,78.3555448557,6.1,1491287,1588362,19,391873,394613,1224,333331,265129,215653,186082,81594,142041,117329,411408,96611,76908,72841,54139,42207,26950,17112,9120,4558,2711,NA,NA,2359763,181344,81366,1703203,1376446,3079649,NA,NA
12 Guerrero,2005,NA,6.8,1499453,1615749,21,345731,396125,1126,332940,252404,212665,198099,83257,158810,135306,377826,112818,89468,80235,66040,50403,34974,21597,11675,4612,2520,NA,NA,NA,NA,NA,1792955,1322247,3115202,NA,NA
12 Guerrero,2010,82.47,7.27,1645561,1743207,23,353009,393378,1186,372191,290684,237815,223482,99320,178482,158413,378197,137260,110858,89041,72733,66668,43749,26491,14892,5898,2810,NA,NA,2622501,267579,87312,1971848,1416920,3388768,NA,NA
12 Guerrero,2015,85.5449591951,7.802707422,NA,NA,24.073257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4958306,33.916696,NA,NA,NA,NA,NA,NA,NA,NA
12 Guerrero,2020,87.4243920962,8.3726986169,1700612,1840073,27,335458,348493,1179,326540,281967,256191,237976,102989,209120,190778,351010,174072,148972,126765,104196,77444,58071,39210,23532,9187,3950,8.5837345034,NA,2576502,477604,133954,2112142,1428543,3540685,8745.902761400757,32515.6906028705
13 Hidalgo,1995,NA,NA,1042566,1069907,20,252617,269753,514,239592,201620,162352,141617,63858,98208,83345,265590,65824,51647,44554,33606,26160,17386,10546,6056,2712,1473,NA,NA,NA,NA,NA,1002889,1109584,2112473,NA,NA
13 Hidalgo,2000,85.0233021702,6.7,1081993,1153598,22,243558,271378,660,235368,195771,172960,155351,66909,117852,95309,277830,77766,60808,51719,40119,30440,21911,12770,7406,3268,1835,NA,NA,1791931,137423,31147,1102694,1132897,2235591,NA,NA
13 Hidalgo,2005,NA,7.4,1125188,1220326,24,237423,270650,621,237675,196494,175226,173306,73325,135441,116547,243185,93857,73161,65005,46738,35516,25653,16502,9117,3470,1703,NA,NA,NA,NA,NA,1227057,1118457,2345514,NA,NA
13 Hidalgo,2010,89.12,8.1,1285222,1379796,25,255202,263026,654,269602,226170,201034,197047,88478,162857,140325,271181,120304,95265,74476,57669,48068,31279,19997,12043,4577,1952,NA,NA,2092764,204793,55024,1391240,1273778,2665018,NA,NA
13 Hidalgo,2015,91.0010250836,8.715456678,NA,NA,27.021866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0723142,36.211652,NA,NA,NA,NA,NA,NA,NA,NA
13 Hidalgo,2020,93.2538303841,9.3707589051,1481379,1601462,30,238189,283676,642,272506,238187,231124,224226,101835,211048,194567,269553,171679,139795,118929,93011,66179,47263,29997,17421,7213,3020,1.5794846377,NA,2285681,426077,126896,1766494,1316347,3082841,11301.442345458028,40090.3109621367
14 Jalisco,1995,NA,NA,2923921,3067255,21,701617,715201,820,676896,615402,482529,413098,173020,291118,237708,717968,192416,143341,125183,95384,79247,53066,36385,19954,8299,3510,NA,NA,NA,NA,NA,4983708,1007468,5991176,NA,NA
14 Jalisco,2000,93.4715933311,7.5,3070241,3251761,22,703272,708813,1097,673570,589706,529194,453186,186637,334653,264177,720270,224975,169779,140629,108075,84182,63716,39463,24151,9701,4405,NA,NA,5285970,165489,49825,5345302,976700,6322002,NA,NA
14 Jalisco,2005,NA,8.2,3278822,3473291,24,674285,697206,1027,669724,601671,523866,509541,211444,379829,318734,688681,267921,208005,172579,126101,96044,69383,48147,27217,11502,4526,NA,NA,NA,NA,NA,5816604,935509,6752113,NA,NA
14 Jalisco,2010,95.06,8.78,3600641,3750041,25,694948,714393,1084,715003,669088,592033,548117,258270,446601,371541,727075,324277,254380,210465,155337,118204,80747,53964,32720,13596,5206,NA,NA,6113846,296924,113957,6365434,985248,7350682,NA,NA
14 Jalisco,2015,95.8205642246,9.249860796,NA,NA,26.421022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7793668,11.12237,NA,NA,NA,NA,NA,NA,NA,NA
14 Jalisco,2020,96.9322849211,9.8973534172,4098455,4249696,29,670983,714906,1108,716259,704359,668334,639006,295336,549859,511537,718100,444689,357080,313011,240553,181420,120885,76495,41507,17725,6381,1.6731369617,NA,6843249,417236,353735,7341829,1006322,8348151,15648.902814957382,55746.3113597791
15 México,1995,NA,NA,5776054,5931910,21,1364484,1344420,1000,1305765,1295228,1058142,913299,384902,586683,457065,1382651,349220,251155,204472,145024,101342,59674,34930,21492,8673,4715,NA,NA,NA,NA,NA,10018556,1689408,11707964,NA,NA
15 México,2000,93.5353023411,8,6407213,6689473,23,1366320,1363554,1792,1307977,1250900,1154041,1008308,420989,706988,535083,1447047,422987,303755,242540,178159,123108,84377,41618,25874,10206,6030,NA,NA,10122231,691602,197693,11304410,1792276,13096686,NA,NA
15 México,2005,NA,8.7,6832822,7174673,24,1373064,1410691,1334,1334112,1250151,1152407,1147320,483846,839324,682173,1362065,539308,388919,305945,215924,156324,102977,61530,31282,11029,5264,NA,NA,NA,NA,NA,12200214,1807281,14007495,NA,NA
15 México,2010,94.98,9.1,7396986,7778876,26,1426612,1429028,1378,1467148,1364380,1233854,1198515,566526,1003492,831164,1498274,695328,509884,392349,270138,200542,129423,78893,44498,14612,5814,NA,NA,11726661,1040323,434175,13202345,1973517,15175862,NA,NA
15 México,2015,95.8036414956,9.5280673793,NA,NA,27.46862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8796724,16.998633,NA,NA,NA,NA,NA,NA,NA,NA
15 México,2020,96.8591190693,10.0823980468,8251295,8741123,30,1276386,1464549,1458,1476665,1415159,1367527,1283264,596686,1197089,1145882,1381132,1007077,795711,661100,475398,330905,212562,130480,71307,26950,9294,1.7435070159,NA,12369271,2260476,1032529,14853995,2138423,16992418,13629.154314985222,49620.0970652741
16 Michoacán de Ocampo,1995,NA,NA,1884105,1986499,20,467147,501490,931,457894,370671,281231,244357,104658,173986,141762,499020,118272,91798,88981,65207,54355,32765,23993,13194,5932,2925,NA,NA,NA,NA,NA,2497443,1373161,3870604,NA,NA
16 Michoacán de Ocampo,2000,86.0061609234,6.2,1911078,2074589,21,453339,498316,1216,436043,357857,294099,255792,107652,196428,154267,492453,132493,102326,94498,75177,61639,42177,25242,15131,6983,3764,NA,NA,3297059,106944,46358,2606766,1378901,3985667,NA,NA
16 Michoacán de Ocampo,2005,NA,6.9,1892377,2073696,23,400054,462479,1046,423624,332440,284690,273154,112596,216455,182586,426654,153673,120402,104898,84325,69195,50678,33279,17681,7330,3683,NA,NA,NA,NA,NA,2694541,1271532,3966073,NA,NA
16 Michoacán de Ocampo,2010,89.14,7.42,2102109,2248928,25,425698,443721,1046,453827,392338,322064,303108,136834,247704,212627,434860,188305,147873,122951,96347,83990,58813,40032,23160,8949,3839,NA,NA,3588518,176342,74836,2988349,1362688,4351037,NA,NA
